"","Name","date","Confirmed.Cases","Deaths","Recovered","Active","Incident.Rate","Testing.Rate","Hospitalization.Rate"
"312","IDAHO","2020-01-28",0,0,0,0,0,0,0
"313","ILLINOIS","2020-01-28",1,0,0,0,0,0,0
"314","INDIANA","2020-01-28",0,0,0,0,0,0,0
"315","IOWA","2020-01-28",0,0,0,0,0,0,0
"316","KANSAS","2020-01-28",0,0,0,0,0,0,0
"317","KENTUCKY","2020-01-28",0,0,0,0,0,0,0
"318","LOUISIANA","2020-01-28",0,0,0,0,0,0,0
"319","MAINE","2020-01-28",0,0,0,0,0,0,0
"320","MARYLAND","2020-01-28",0,0,0,0,0,0,0
"321","MASSACHUSETTS","2020-01-28",0,0,0,0,0,0,0
"322","MICHIGAN","2020-01-28",0,0,0,0,0,0,0
"323","MINNESOTA","2020-01-28",0,0,0,0,0,0,0
"324","MISSISSIPPI","2020-01-28",0,0,0,0,0,0,0
"325","MISSOURI","2020-01-28",0,0,0,0,0,0,0
"326","MONTANA","2020-01-28",0,0,0,0,0,0,0
"327","NEBRASKA","2020-01-28",0,0,0,0,0,0,0
"328","NEVADA","2020-01-28",0,0,0,0,0,0,0
"329","NEW HAMPSHIRE","2020-01-28",0,0,0,0,0,0,0
"330","NEW JERSEY","2020-01-28",0,0,0,0,0,0,0
"331","NEW MEXICO","2020-01-28",0,0,0,0,0,0,0
"332","NEW YORK","2020-01-28",0,0,0,0,0,0,0
"333","NORTH CAROLINA","2020-01-28",0,0,0,0,0,0,0
"334","NORTH DAKOTA","2020-01-28",0,0,0,0,0,0,0
"335","OHIO","2020-01-28",0,0,0,0,0,0,0
"336","OKLAHOMA","2020-01-28",0,0,0,0,0,0,0
"337","OREGON","2020-01-28",0,0,0,0,0,0,0
"338","PENNSYLVANIA","2020-01-28",0,0,0,0,0,0,0
"339","RHODE ISLAND","2020-01-28",0,0,0,0,0,0,0
"340","SOUTH CAROLINA","2020-01-28",0,0,0,0,0,0,0
"341","SOUTH DAKOTA","2020-01-28",0,0,0,0,0,0,0
"342","TENNESSEE","2020-01-28",0,0,0,0,0,0,0
"343","TEXAS","2020-01-28",0,0,0,0,0,0,0
"344","UTAH","2020-01-28",0,0,0,0,0,0,0
"345","VERMONT","2020-01-28",0,0,0,0,0,0,0
"346","VIRGINIA","2020-01-28",0,0,0,0,0,0,0
"347","WASHINGTON","2020-01-28",1,0,0,0,0,0,0
"348","WEST VIRGINIA","2020-01-28",0,0,0,0,0,0,0
"349","WISCONSIN","2020-01-28",0,0,0,0,0,0,0
"350","WYOMING","2020-01-28",0,0,0,0,0,0,0
"351","ALABAMA","2020-01-29",0,0,0,0,0,0,0
"352","ALASKA","2020-01-29",0,0,0,0,0,0,0
"353","ARIZONA","2020-01-29",1,0,0,0,0,0,0
"354","ARKANSAS","2020-01-29",0,0,0,0,0,0,0
"355","CALIFORNIA","2020-01-29",2,0,0,0,0,0,0
"356","COLORADO","2020-01-29",0,0,0,0,0,0,0
"357","CONNECTICUT","2020-01-29",0,0,0,0,0,0,0
"358","DELAWARE","2020-01-29",0,0,0,0,0,0,0
"359","FLORIDA","2020-01-29",0,0,0,0,0,0,0
"360","GEORGIA","2020-01-29",0,0,0,0,0,0,0
"361","HAWAII","2020-01-29",0,0,0,0,0,0,0
"362","IDAHO","2020-01-29",0,0,0,0,0,0,0
"363","ILLINOIS","2020-01-29",1,0,0,0,0,0,0
"364","INDIANA","2020-01-29",0,0,0,0,0,0,0
"365","IOWA","2020-01-29",0,0,0,0,0,0,0
"366","KANSAS","2020-01-29",0,0,0,0,0,0,0
"367","KENTUCKY","2020-01-29",0,0,0,0,0,0,0
"368","LOUISIANA","2020-01-29",0,0,0,0,0,0,0
"369","MAINE","2020-01-29",0,0,0,0,0,0,0
"370","MARYLAND","2020-01-29",0,0,0,0,0,0,0
"371","MASSACHUSETTS","2020-01-29",1,0,0,0,0,0,0
"372","MICHIGAN","2020-01-29",0,0,0,0,0,0,0
"373","MINNESOTA","2020-01-29",0,0,0,0,0,0,0
"374","MISSISSIPPI","2020-01-29",0,0,0,0,0,0,0
"375","MISSOURI","2020-01-29",0,0,0,0,0,0,0
"376","MONTANA","2020-01-29",0,0,0,0,0,0,0
"377","NEBRASKA","2020-01-29",0,0,0,0,0,0,0
"378","NEVADA","2020-01-29",0,0,0,0,0,0,0
"379","NEW HAMPSHIRE","2020-01-29",0,0,0,0,0,0,0
"380","NEW JERSEY","2020-01-29",0,0,0,0,0,0,0
"381","NEW MEXICO","2020-01-29",0,0,0,0,0,0,0
"382","NEW YORK","2020-01-29",0,0,0,0,0,0,0
"383","NORTH CAROLINA","2020-01-29",0,0,0,0,0,0,0
"384","NORTH DAKOTA","2020-01-29",0,0,0,0,0,0,0
"385","OHIO","2020-01-29",0,0,0,0,0,0,0
"386","OKLAHOMA","2020-01-29",0,0,0,0,0,0,0
"387","OREGON","2020-01-29",0,0,0,0,0,0,0
"388","PENNSYLVANIA","2020-01-29",0,0,0,0,0,0,0
"389","RHODE ISLAND","2020-01-29",0,0,0,0,0,0,0
"390","SOUTH CAROLINA","2020-01-29",0,0,0,0,0,0,0
"391","SOUTH DAKOTA","2020-01-29",0,0,0,0,0,0,0
"392","TENNESSEE","2020-01-29",0,0,0,0,0,0,0
"393","TEXAS","2020-01-29",0,0,0,0,0,0,0
"394","UTAH","2020-01-29",0,0,0,0,0,0,0
"395","VERMONT","2020-01-29",0,0,0,0,0,0,0
"396","VIRGINIA","2020-01-29",0,0,0,0,0,0,0
"397","WASHINGTON","2020-01-29",1,0,0,0,0,0,0
"398","WEST VIRGINIA","2020-01-29",0,0,0,0,0,0,0
"399","WISCONSIN","2020-01-29",0,0,0,0,0,0,0
"400","WYOMING","2020-01-29",0,0,0,0,0,0,0
"401","ALABAMA","2020-01-30",0,0,0,0,0,0,0
"402","ALASKA","2020-01-30",0,0,0,0,0,0,0
"403","ARIZONA","2020-01-30",1,0,0,0,0,0,0
"404","ARKANSAS","2020-01-30",0,0,0,0,0,0,0
"405","CALIFORNIA","2020-01-30",2,0,0,0,0,0,0
"406","COLORADO","2020-01-30",0,0,0,0,0,0,0
"407","CONNECTICUT","2020-01-30",0,0,0,0,0,0,0
"408","DELAWARE","2020-01-30",0,0,0,0,0,0,0
"409","FLORIDA","2020-01-30",0,0,0,0,0,0,0
"410","GEORGIA","2020-01-30",0,0,0,0,0,0,0
"411","HAWAII","2020-01-30",0,0,0,0,0,0,0
"412","IDAHO","2020-01-30",0,0,0,0,0,0,0
"413","ILLINOIS","2020-01-30",1,0,0,0,0,0,0
