"","Province_State","statefips","date","Population","confirmed","death"
"504","Arkansas",5,2020-02-01,3017804,0,0
"505","California",6,2020-02-01,39512223,3,0
"506","Colorado",8,2020-02-01,5758736,0,0
"507","Connecticut",9,2020-02-01,3565287,0,0
"508","Delaware",10,2020-02-01,973764,0,0
"509","Florida",12,2020-02-01,21477737,0,0
"510","Georgia",13,2020-02-01,10617423,0,0
"511","Hawaii",15,2020-02-01,1415872,0,0
"512","Idaho",16,2020-02-01,1787065,0,0
"513","Illinois",17,2020-02-01,12671821,2,0
"514","Indiana",18,2020-02-01,6732219,0,0
"515","Iowa",19,2020-02-01,3155070,0,0
"516","Kansas",20,2020-02-01,2913314,0,0
"517","Kentucky",21,2020-02-01,4467673,0,0
"518","Louisiana",22,2020-02-01,4648794,0,0
"519","Maine",23,2020-02-01,1344212,0,0
"520","Maryland",24,2020-02-01,6045680,0,0
"521","Massachusetts",25,2020-02-01,6892503,1,0
"522","Michigan",26,2020-02-01,9986857,0,0
"523","Minnesota",27,2020-02-01,5639632,0,0
"524","Mississippi",28,2020-02-01,2976149,0,0
"525","Missouri",29,2020-02-01,6626371,0,0
"526","Montana",30,2020-02-01,1068778,0,0
"527","Nebraska",31,2020-02-01,1934408,0,0
"528","Nevada",32,2020-02-01,3080156,0,0
"529","New Hampshire",33,2020-02-01,1359711,0,0
"530","New Jersey",34,2020-02-01,8882190,0,0
"531","New Mexico",35,2020-02-01,2096829,0,0
"532","New York",36,2020-02-01,19453561,0,0
"533","North Carolina",37,2020-02-01,10488084,0,0
"534","North Dakota",38,2020-02-01,762062,0,0
"535","Ohio",39,2020-02-01,11689100,0,0
"536","Oklahoma",40,2020-02-01,3956971,0,0
"537","Oregon",41,2020-02-01,4217737,0,0
"538","Pennsylvania",42,2020-02-01,12801989,0,0
"539","Rhode Island",44,2020-02-01,1059361,0,0
"540","South Carolina",45,2020-02-01,5148714,0,0
"541","South Dakota",46,2020-02-01,884659,0,0
"542","Tennessee",47,2020-02-01,6829174,0,0
"543","Texas",48,2020-02-01,28995881,0,0
"544","Utah",49,2020-02-01,3205958,0,0
"545","Vermont",50,2020-02-01,623989,0,0
"546","Virginia",51,2020-02-01,8535519,0,0
"547","Washington",53,2020-02-01,7614893,1,0
"548","West Virginia",54,2020-02-01,1792147,0,0
"549","Wisconsin",55,2020-02-01,5822434,0,0
